      用户id  课程id     时间                    是否喜欢(0不喜欢,1喜欢)
    3    3    1559545103622    0
    3    1    1559545107267    1
    3    6    1559545522927    1
    3    1    1559545543898    0
    3    2    1559545607080    0
    1    3    1559546016289    1
    1    24    1560342435816    0
    1    24    1560342443261    0
    1    1    1560342453314    0
    1    3    1560343277595    0
    1    18    1560343286005    0
    1    18    1560343290474    0
    6    4    1560384555845    0
    6    14    1560385397473    1
    6    14    1560385417570    0
